TABLE=073 | AREA=Xã Lộc Thạnh | RECORDS=16 | GROUPS=15 | REVIEW=0
ID=NQ28-073-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=112,90,44 | ROAD=73. Xã Lộc Thạnh Giáp Đường Quốc lộ 13 Lộc | START=Đoạn đường ranh xã Trạm kiểm Hoa Lư Tấn | END=Giá đất Giá trồng trồng cây lâu cây năm soát 140 | FLAGS=
ID=NQ28-073-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=84,67,44 | ROAD=Đường nhựa vào Ủy ban Đường nhân dân xã Lộc Hòa lộ (cũ) | START=Hết ranh Quốc Trạm y 13 (cũ) | END=đất tế xã 105 | FLAGS=
ID=NQ28-073-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=48,38,38 | ROAD=Đường nhựa Ngã | START=Hết ranh ba ấp 8A Chợ xã Hòa (cũ) | END=đất Lộc 60 | FLAGS=
ID=NQ28-073-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=48,38,38 | ROAD=Giáp Đường nhựa Chợ Hòa | START=ranh đất Cổng chào xã Lộc 7 (cũ) | END=ấp 60 | FLAGS=
ID=NQ28-073-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=48,38,38 | ROAD=Cổng Nhà Đường nhựa ấp Trung | START=chào Hết ranh văn hóa trường Thạnh học cơ Thạnh | END=đất Trung 60 sở Lộc | FLAGS=
ID=NQ28-073-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=84,67,44 | ROAD=Các tuyến đường nhựa trong cụm xã (cũ) | START=khu dân cư trung | END=tâm 105 | FLAGS=
ID=NQ28-073-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=84,67,44 | ROAD=Giáp Đường liên xã Lộc Hòa - Trạm Lộc An (cũ) (cũ) | START=ranh đất Ngã ba y tế xã Huyền | END=nhà 105 Thông | FLAGS=
ID=NQ28-073-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=84,67,44 | ROAD=Đường liên xã Lộc Hòa - Ngã Lộc An (cũ) Huyền | START=ba nhà Cổng chào Thông 6 | END=ấp 105 | FLAGS=
ID=NQ28-073-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=84,67,44 | ROAD=Cổng Đường liên xã Lộc Tân - (giáp Lộc Thạnh Lộc | START=Đường làng 9 13 (giáp ranh xã xã Lộc Tấn) (cũ)) | END=Quốc lộ ranh 105 Hòa | FLAGS=
ID=NQ28-073-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=direct | PRICES=84,67,44 | FLAGS=
ID=NQ28-073-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=112,90,44 | ROAD=Đường 13B (đường ĐT Ngã 754C) Riu | START=ba Chiu Cầu suối | END=2 140 | FLAGS=
ID=NQ28-073-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=112,90,44 | ROAD=Đường 13B (đường ĐT Cầu 754C) | START=Giáp đường suối 2 tuần tra giới | END=biên 140 | FLAGS=
ID=NQ28-073-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=48,38,38 | ROAD=Các đường giao thông theo lõi khu kinh tế cửa khẩu Hoa trong đoạn Quốc lộ 13) | START=quy hoạch xây dựng Lư (trừ các đường | END=vùng nằm 60 | FLAGS=
ID=NQ28-073-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=48,38,38 | ROAD=Các đường vành đai, đường trong khu quy hoạch Khu kinh các đường nằm trong đoạn | START=ngang và đường tế cửa khẩu Hoa Quốc lộ 13) | END=dọc Lư (trừ 60 | FLAGS=
ID=NQ28-073-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=48,38,38 | ROAD=Các tuyến đường giao thông đường theo bản đồ địa chính | START=nông thôn có bề rộng từ 3,5m trở lên | END=60 | FLAGS=
ID=NQ28-073-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=48,38,38 | ROAD=Các tuyến đường còn lại | START= | END=60 | FLAGS=
